ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439064864.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439064864.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312966970.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312966970.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312966970.01.LZZZZZZZ.jpg
0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425172546.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425172546.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425172546.01.LZZZZZZZ.jpg
0440220602,The Chamber,John Grisham,1995,Dell Publishing Company,http://images.amazon.com/images/P/0440220602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440220602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440220602.01.LZZZZZZZ.jpg
0061083259,Dreamcatcher,Dinah McCall,1996,HarperTorch,http://images.amazon.com/images/P/0061083259.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061083259.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061083259.01.LZZZZZZZ.jpg
0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star,http://images.amazon.com/images/P/0671793489.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671793489.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671793489.01.LZZZZZZZ.jpg
0312244266,Winter Solstice,Rosamunde Pilcher,2000,Thomas Dunne Books,http://images.amazon.com/images/P/0312244266.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312244266.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312244266.01.LZZZZZZZ.jpg
0671011367,Deja Dead,Kathy Reichs,1998,Pocket,http://images.amazon.com/images/P/0671011367.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671011367.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671011367.01.LZZZZZZZ.jpg
0061097101,The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch,http://images.amazon.com/images/P/0061097101.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061097101.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061097101.01.LZZZZZZZ.jpg
0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983271.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312983271.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312983271.01.LZZZZZZZ.jpg
0380731851,Mystic River,Dennis Lehane,2002,HarperTorch,http://images.amazon.com/images/P/0380731851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.LZZZZZZZ.jpg
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
0446611212,Violets Are Blue,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446611212.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446611212.01.LZZZZZZZ.jpg
0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press,http://images.amazon.com/images/P/0609804138.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804138.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804138.01.LZZZZZZZ.jpg
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,http://images.amazon.com/images/P/0671003755.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.LZZZZZZZ.jpg
074343627X,Dreamcatcher,Stephen King,2001,Pocket,http://images.amazon.com/images/P/074343627X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074343627X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074343627X.01.LZZZZZZZ.jpg
0434009407,Hannibal,Thomas Harris,0,William Heinemann Ltd(england,http://images.amazon.com/images/P/0434009407.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0434009407.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0434009407.01.LZZZZZZZ.jpg
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,http://images.amazon.com/images/P/0064407667.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064407667.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064407667.01.LZZZZZZZ.jpg
0385503822,The Summons,John Grisham,2002,Doubleday Books,http://images.amazon.com/images/P/0385503822.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385503822.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385503822.01.LZZZZZZZ.jpg
0440241073,The Summons,John Grisham,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440241073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.LZZZZZZZ.jpg
0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg
034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books,http://images.amazon.com/images/P/034541389X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034541389X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034541389X.01.LZZZZZZZ.jpg
0449221512,I Is for Innocent,Sue Grafton,1994,Fawcett Books,http://images.amazon.com/images/P/0449221512.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449221512.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449221512.01.LZZZZZZZ.jpg
0670894184,Back Roads,Tawni O'Dell,2000,Viking Books,http://images.amazon.com/images/P/0670894184.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670894184.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670894184.01.LZZZZZZZ.jpg
0679450408,Silent Witness,Richard North Patterson,1997,Random House Inc,http://images.amazon.com/images/P/0679450408.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679450408.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679450408.01.LZZZZZZZ.jpg
0743486226,Angels &amp; Demons,Dan Brown,2003,Atria,http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg
0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425175405.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425175405.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425175405.01.LZZZZZZZ.jpg
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
0553263226,The Bourne Supremacy,Robert Ludlum,1987,Bantam,http://images.amazon.com/images/P/0553263226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553263226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553263226.01.LZZZZZZZ.jpg
0671032658,The Green Mile,Stephen King,1999,Pocket,http://images.amazon.com/images/P/0671032658.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671032658.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671032658.01.LZZZZZZZ.jpg
0425178102,Big Trouble,Dave Barry,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425178102.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425178102.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425178102.01.LZZZZZZZ.jpg
0446609404,Cradle and All,James Patterson,2001,Warner Vision,http://images.amazon.com/images/P/0446609404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446609404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446609404.01.LZZZZZZZ.jpg
0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
0451178017,Over the Edge,Jonathan Kellerman,1993,Signet Book,http://images.amazon.com/images/P/0451178017.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451178017.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451178017.01.LZZZZZZZ.jpg
0385479565,The Hot Zone,Richard Preston,1995,Anchor,http://images.amazon.com/images/P/0385479565.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385479565.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385479565.01.LZZZZZZZ.jpg
0553580930,A Man in Full,Tom Wolfe,1999,Bantam,http://images.amazon.com/images/P/0553580930.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553580930.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553580930.01.LZZZZZZZ.jpg
0804114986,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books,http://images.amazon.com/images/P/0804114986.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804114986.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804114986.01.LZZZZZZZ.jpg
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,http://images.amazon.com/images/P/0671042858.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg
0679745203,The English Patient,Michael Ondaatje,1996,Vintage Books USA,http://images.amazon.com/images/P/0679745203.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679745203.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679745203.01.LZZZZZZZ.jpg
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,http://images.amazon.com/images/P/0060502258.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060502258.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060502258.01.LZZZZZZZ.jpg
0060987561,I Know This Much Is True,Wally Lamb,1999,Regan Books,http://images.amazon.com/images/P/0060987561.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060987561.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060987561.01.LZZZZZZZ.jpg
0316734837,Fortune's Rocks : A Novel,Anita Shreve,2002,"Little, Brown",http://images.amazon.com/images/P/0316734837.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316734837.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316734837.01.LZZZZZZZ.jpg
0385475721,The Blind Assassin,Margaret Atwood,2000,Nan A. Talese,http://images.amazon.com/images/P/0385475721.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385475721.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385475721.01.LZZZZZZZ.jpg
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg
0440236673,The Brethren,John Grisham,2000,Island,http://images.amazon.com/images/P/0440236673.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236673.01.LZZZZZZZ.jpg
0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books,http://images.amazon.com/images/P/0446604801.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446604801.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446604801.01.LZZZZZZZ.jpg
0446606189,Cat &amp; Mouse (Alex Cross Novels),James Patterson,1998,Warner Books,http://images.amazon.com/images/P/0446606189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446606189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446606189.01.LZZZZZZZ.jpg
0449134482,Dances With Wolves,Michael Blake,1990,Fawcett Books,http://images.amazon.com/images/P/0449134482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449134482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449134482.01.LZZZZZZZ.jpg
0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books,http://images.amazon.com/images/P/0553268880.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553268880.01.LZZZZZZZ.jpg
0553572997,The Alienist,Caleb Carr,1995,Bantam Books,http://images.amazon.com/images/P/0553572997.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553572997.01.LZZZZZZZ.jpg
0670869902,How Stella Got Her Groove Back,Terry McMillan,1996,Viking Books,http://images.amazon.com/images/P/0670869902.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670869902.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670869902.01.LZZZZZZZ.jpg
0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,http://images.amazon.com/images/P/0671021001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg
0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner,http://images.amazon.com/images/P/0671510053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg
0679746048,"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage,http://images.amazon.com/images/P/0679746048.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679746048.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679746048.01.LZZZZZZZ.jpg
1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications,http://images.amazon.com/images/P/1558743669.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg
0316969680,The Beach House,James Patterson,2002,"Little, Brown",http://images.amazon.com/images/P/0316969680.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316969680.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316969680.01.LZZZZZZZ.jpg
0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster,http://images.amazon.com/images/P/0743206045.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743206045.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743206045.01.LZZZZZZZ.jpg
0671664964,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1988,Pocket,http://images.amazon.com/images/P/0671664964.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671664964.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671664964.01.LZZZZZZZ.jpg
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
014023313X,The Stone Diaries,Carol Shields,1995,Penguin Books,http://images.amazon.com/images/P/014023313X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014023313X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014023313X.01.LZZZZZZZ.jpg
014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books,http://images.amazon.com/images/P/014029628X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014029628X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014029628X.01.LZZZZZZZ.jpg
038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday,http://images.amazon.com/images/P/038550926X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038550926X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038550926X.01.LZZZZZZZ.jpg
0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books,http://images.amazon.com/images/P/0345443284.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345443284.01.LZZZZZZZ.jpg
0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,http://images.amazon.com/images/P/0316601950.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
0552998486,Chocolat,Joanne Harris,2000,Black Swan,http://images.amazon.com/images/P/0552998486.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.LZZZZZZZ.jpg
0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425154092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425154092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425154092.01.LZZZZZZZ.jpg
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
0739417096,On the Street Where You Live,Mary Higgins Clark,0,Simon Schuster Macmillan,http://images.amazon.com/images/P/0739417096.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0739417096.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0739417096.01.LZZZZZZZ.jpg
0156027321,Life of Pi,Yann Martel,2003,Harvest Books,http://images.amazon.com/images/P/0156027321.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156027321.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156027321.01.LZZZZZZZ.jpg
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385474016.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385474016.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385474016.01.LZZZZZZZ.jpg
0446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books,http://images.amazon.com/images/P/0446608955.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446608955.01.LZZZZZZZ.jpg
